ID	Label
213	www.iss.gov.si
214	www.vurs.gov.si
215	spletni2.furs.gov.si
216	www.varnostni-znaki.mddsz.gov.si
217	www.ciscenje-stavb.mddsz.gov.si
218	www.slikovni-zasloni.mddsz.gov.si
219	et2005.mddsz.gov.si
220	www.minus25.gov.si
221	sicas-x509.gov.si
222	www.gsv.gov.si
223	edrazbe.gov.si
224	forum2.arsktrp.gov.si
225	www.zi.gov.si
226	e-storitve-zirs.gov.si
227	idp-ise.mp.gov.si
228	www.uvps.gov.si
229	www.ukom.gov.si
230	www.epos-de.gov.si
231	www.djn.mju.gov.si
232	vnosnesrec.gov.si
233	www.za-ljubitelje-narave.mop.gov.si
234	www.parki.mop.gov.si
235	www.arhiv.mop.gov.si
236	www.ikglr.gov.si
238	www.pportal.gov.si
239	www.ckijz.gov.si
240	www.arhiv.mk.gov.si
241	sovd.gov.si
242	www2.gov.si
243	mid.gov.si
244	www.inspire.mop.gov.si
245	www.izrabljena-vozila.mop.gov.si
246	agromet.mkgp.gov.si
247	sark.ekultura.gov.si
248	du-sts.gov.si
262	webapl.mkgp.gov.si
265	vs.gov.si
267	cis-vurs.gov.si
268	erkg.gov.si
269	gpzrszvelenje@ess.gov.si
270	www.svzi.gov.si
271	esvetovanje-test.ess.gov.si
272	www.unp.gov.si
273	pomoc.beguncem.gov.si
275	www.mpju.gov.si
276	fito-gis.mko.gov.si
277	reh.ars.gov.si
278	www.cilj3.mzip.gov.si
279	prostor.gov.si
280	gisportral.gov.si
281	ssn.up.gov.si
282	agromet.mko.gov.si
283	gis.furs.gov.si
285	preveriracun.fu.gov.si
286	www.et2006.mddsz.gov.si
287	www.et2005.mddsz.gov.si
288	urednik.typo3.lamp.gov.si
290	pregled.arsktrp.gov.si
